,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
PGa,0.24266365688487584,0.0,0.0,0.0,0.0,0.0,0.744920993227991,0.0,0.012415349887133182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PGb,0.3066577000672495,0.0,0.0,0.0,0.0,0.0,0.1788836583725622,0.0,0.5144586415601883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Opta,0.27053140096618356,0.0,0.0,0.0,0.0,0.0,0.6205533596837944,0.0,0.10891523935002195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Optb,0.30823529411764705,0.0,0.0,0.0,0.0,0.0,0.5858823529411765,0.0,0.10588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IPa,0.17012987012987013,0.0,0.0,0.0,0.0,0.06103896103896104,0.7688311688311689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IPb,0.18036912751677853,0.0,0.0,0.0,0.0,0.10570469798657718,0.7139261744966443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IPc,0.19672131147540983,0.0,0.0,0.0,0.0,0.012962256957682043,0.7903164315669081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IPd,0.23274161735700197,0.0,0.0,0.0,0.0,0.0,0.7672583826429981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A23a,0.051224944320712694,0.0,0.0,0.0,0.0,0.0,0.0,0.15011135857461025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7986636971046771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A23b,0.12171507607192254,0.0,0.0,0.0,0.02881512217611803,0.0006915629322268327,0.0,0.23766712770862147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A23V,0.2714663143989432,0.0,0.0,0.0,0.0,0.0,0.0,0.015191545574636724,0.0,0.0,0.0,0.0,0.0,0.0,0.23447820343461032,0.0,0.0,0.0,0.0,0.0,0.0,0.46367239101717306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015191545574636724,1.0
A29M,0.3824228028503563,0.0,0.0,0.0,0.0,0.0,0.0,0.019596199524940617,0.0,0.0,0.0,0.0005938242280285036,0.0,0.0,0.05463182897862233,0.0,0.0,0.0,0.0,0.0,0.012470308788598575,0.5302850356294537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A30,0.19602649006622516,0.0,0.0,0.0,0.0,0.0,0.0,0.06490066225165562,0.0,0.0,0.0,0.0,0.0,0.0,0.02869757174392936,0.0,0.0,0.0,0.0,0.0,0.0,0.7103752759381898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
